2203
idno,freehms,gincdif,lrscale,impcntr,euftf,group
9,0.5,0.5,0,1,0.8,6
10,1,1,0,1,0.6000000000000001,2
64,1,1,-0.4,1,0.6000000000000001,2
65,-0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,2
119,1,1,0,1,0.6000000000000001,2
150,1,1,0,-0.33333333333333326,1,5
212,1,1,-0.6,1,0,1
270,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3
304,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.8,2
311,1,1,0,0.33333333333333337,-1,3
318,1,1,0.19999999999999996,0.33333333333333337,0.6000000000000001,2
372,0.5,0.5,-0.19999999999999996,0.33333333333333337,1,4
385,1,1,-0.4,0.33333333333333337,0.19999999999999996,1
458,-1,1,0,-1,-0.6,6
476,0.5,0.5,0,-0.33333333333333326,0,2
506,1,0.5,0,0.33333333333333337,0,2
515,0.5,0.5,0,-0.33333333333333326,0.8,6
533,-0,-0,0.19999999999999996,-0.33333333333333326,-0.6,1
564,0.5,1,0,-0.33333333333333326,1,6
570,1,1,0,0.33333333333333337,0,1
589,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,5
621,1,-1,0.19999999999999996,0.33333333333333337,1,3
636,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,1
641,1,0.5,0,1,0.8,2
662,1,1,-0.6,0.33333333333333337,1,2
704,1,0.5,0.3999999999999999,1,-0.4,3
718,0.5,1,0.19999999999999996,-0.33333333333333326,0.3999999999999999,1
749,0.5,0.5,-0.4,0.33333333333333337,1,6
803,0.5,1,-1,-0.33333333333333326,-0.19999999999999996,5
810,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,5
866,0.5,-0,0,0.33333333333333337,-0.4,2
943,1,0.5,-0.6,0.33333333333333337,-0.4,5
954,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,2
1081,0.5,0.5,-0.19999999999999996,1,0.3999999999999999,2
1101,1,1,0.19999999999999996,0.33333333333333337,1,2
1222,1,-0.5,0,0.33333333333333337,0,6
1255,1,1,-0.4,0.33333333333333337,0,1
1273,0.5,0.5,0,-1,0.6000000000000001,3
1281,1,0.5,0.6000000000000001,-0.33333333333333326,0.6000000000000001,2
1324,0.5,0.5,0.6000000000000001,0.33333333333333337,0.3999999999999999,2
1360,1,0.5,0,1,0.6000000000000001,6
1367,0.5,0.5,0.8,0.33333333333333337,0,1
1378,0.5,1,0.6000000000000001,-0.33333333333333326,0.3999999999999999,6
1408,0.5,-0,0,0.33333333333333337,1,2
1437,1,-0.5,-0.8,1,0.3999999999999999,2
